,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,MSFT__hl,MSFT__co,MSFT__ocp,MSFT__log_returns,MSFT__lret_squared,MSFT__earning_horizon1,MSFT__earning_horizon2,MSFT__earning_horizon3,MSFT__earning_horizon4,AAPL,MSFT
2015-08-03,0.0401461388600499,-0.0238627101411127,0.0015641856637647,-0.0222985244773479,0.0004972241938668,0,0,0,0,0.010910366007566,-0.0089763372538637,0.0083324913254089,-0.000643845928455,4.145375795880956e-07,0,0,0,0,0.3850462337502467,0.1570075738012888
2015-08-04,0.0379233393039149,-0.0199981170675491,-0.0082558513340939,-0.0282539684016431,0.000798286730441,0,0,0,0,0.0197900257751765,0.0143322162409718,0.003856872147673,0.0181890883886448,0.0003308429364099,0,0,0,0,0.3993189026821371,0.1819334694916453
2015-08-05,0.0452052743434644,0.0148965285396887,-0.0175880864919273,-0.0026915579522386,7.24448421025902e-06,0,0,0,0,0.0158388315343699,0.0058626633581533,0.0038924882138766,0.0097551515720297,9.516298219327498e-05,0,0,0,0,0.5602099986733108,0.1791137697862194
2015-08-06,0.0204365864313555,-0.0017265197658938,0.0124830384000637,0.01075651863417,0.0001157026931272,0,0,0,0,0.030608127973313,-0.028039220064393,-0.0033458835061852,-0.0313851035705781,0.0009850247261359,0,0,0,0,0.3026589669116684,0.2105512074203089
2015-08-07,0.0146519592004764,0.004005578326759,-0.0098112356370851,-0.0058056573103257,3.370565680493922e-05,0,0,0,0,0.0106434181975187,0.0008611410650572,0.0002154011855385,0.0010765422505958,1.1589432173179467e-06,0,0,0,0,0.2230367440746739,0.1192186227667765
2015-08-10,0.0317567648798769,0.030172615052925,0.0099443078115931,0.0401169228645179,0.0016093675001176,0,0,0,0,0.0152804331375994,0.013172062126772,0.0062211935069805,0.0193932556337528,0.000376098364076,0,0,0,0,0.2517288878412724,0.1492758832803474
2015-08-11,0.0412874946238764,-0.0343355387332577,-0.0181984726680753,-0.0525340114013332,0.0027598223539154,0,0,0,0,0.0213163416211812,-0.0152307484593608,-0.0097732253891034,-0.0250039738484644,0.0006251987082146,0,0,0,0,0.4283468507394189,0.2423649243317093
2015-08-12,0.0461483835463795,0.0114884585056694,-0.0022048045110448,0.0092836539946246,8.618623149190944e-05,0,0,0,0,0.0203557580566749,0.0097119572045679,-0.0021663786635614,0.0075455785410065,5.693575551849884e-05,0,0,0,0,0.5066711410611336,0.2102611611646979
2015-08-13,0.0149083958658267,0.0080340515169836,0.005391247021378,0.0134252985383618,0.0001802386408441,0,0,0,0,0.011763193735959,0.0075767438738974,0.0023608278900146,0.009937571763912,9.875533256290262e-05,0,0,0,0,0.170428888362286,0.1151135567143495
2015-08-14,0.011738754856576,0.0077354694532406,-0.0142974423229305,-0.0065619728696897,4.305948794254415e-05,0,0,0,0,0.0111146747509521,0.0047048846412622,-0.0080064478937415,-0.0033015632524793,1.0900319910121843e-05,0,0,0,0,0.2510989670165496,0.1719438705044777
2015-08-17,0.0183594337745879,0.0152779557396662,0.0010384216924812,0.0163163774321475,0.0002662241725082,0,0,0,0,0.0178766199197411,0.0089440903867395,-0.0002133788549658,0.0087307115317738,7.622532385104888e-05,0,0,0,0,0.1414929586875938,0.1802508293516701
2015-08-18,0.0122511705788902,0.0041551602973549,-0.0078673229456201,-0.0037121626482652,1.3780151527175586e-05,0,0,0,0,0.0152999159624083,0.003952637210802,0.0014624741981298,0.0054151114089315,2.9323431571140997e-05,0,0,0,0,0.1811856901925317,0.1688583098349877
2015-08-19,0.0159172910760642,-0.0024110160802454,-0.0068214004323373,-0.0092324165125829,8.52375146618152e-05,0,0,0,0,0.0160564245371842,0.0017043037785327,-0.0069332653489391,-0.0052289615704061,2.734203910478486e-05,0,0,0,0,0.2075655205740396,0.2105108800229724
2015-08-20,0.0258814075214913,-0.0168351997970171,-0.0104966872179782,-0.027331887014995,0.0007470320478004,0,0,0,0,0.0153965960253448,-0.0073629961310907,-0.0141524637646401,-0.0215154598957312,0.0004629150145248,0,0,0,0,0.2908195091550659,0.2739801009442217
2015-08-21,0.0377955986378965,-0.0329237625345104,-0.0090524717261959,-0.0419762342607064,0.0017620042427097,0,0,0,0,0.0421785392354801,-0.036949471960802,-0.0047972649214331,-0.041746736882235,0.0017427900403145,0,0,0,0,0.3084183551485069,0.3115348422370521
2015-08-24,0.1479609223631042,-0.0272923147612597,-0.0038927050141007,-0.0311850197753607,0.0009725054583896,0,0,0,0,0.0796795784988786,-0.0433207505321869,-0.0052313467393229,-0.0485520972715098,0.0023573061494621,0,0,0,0,1.6400472723599593,0.7900388407766974
2015-08-25,0.0264124366970042,-0.0067683577391859,0.034618497165841,0.027850139426655,0.0007756302660841,0,0,0,0,0.0326765853246398,-0.0146263518051243,0.0162912350532882,0.0016648832481638,2.7718362300165407e-06,0,0,0,0,0.6208439354651799,0.4249638478913689
2015-08-26,0.0301756545069294,-0.0027889321874122,-0.0071704921468345,-0.0099594243342466,9.919013306958494e-05,0,0,0,0,0.0221375739146654,-0.0180098516523637,-0.0014268730126001,-0.0194367246649642,0.0003777862657016,0,0,0,0,0.3562744512118049,0.175178371734557
